album,category,frequency,network,default_duration
Marketplace with Kai Ryssdal,finance,d,APM,1633
Composers Datebook,music,d,APM,119
KEXP Song of the Day,music,d,KEXP,3998
Song of the Day,music,d,MPR,224
Monocle 24: The Monocle Daily,news,d,Monocle,3531
The Daily,news,d,NYT,1531
The Gist,news,d,Slate,1921
Slate's The Gist,news,d,Slate,3883
Global News Podcast,news,d,BBC,1757
MSNBC Rachel Maddow,politics,d,MSNBC,347
MSNBC Rachel Maddow (audio),news,d,MSNBC,347
Monocle 24: The Briefing,society,d,Monocle,396
Vox's The Weeds,society,d,Vox,3463
Carbonite,tech,if,Carbonite,168
Tribe of Mentors,interview,if,Indie,1328
The Stack Overflow Podcast,tech,if,StackOverflow,1921
My Dad Wrote A Porno,society,if,Indie,347
Philosophize This!,society,if,Indie,2982
Partially Derivative,tech,if,Indie,2982
Becoming A Data Scientist Podcast,tech,if,Indie,1667
All Songs Considered,music,tw,NPR,1667
Pod Save America,news,tw,Crooked,4585
The Tim Ferriss Show,interview,w,Indie,1921
Tamarindo,politics,w,Indie,1300
"Today, Explained",news,d,Vox,1328
Everything is Alive,society,if,Radiotopia,1395
UnErased: The History of Conversion Therapy in America,society,bw,Indie,2700
Chewing,food,if,Indiw,2700
2 Dope Queens,comedy,w,WNYC,2717
The Bugle,comedy,w,Radiotopia,2647
Fake The Nation,comedy,w,Earwolf,3639
Friday Night Comedy from BBC Radio 4,comedy,w,BBC,1757
Homophilia,comedy,w,Earwolf,3558
International Waters,comedy,w,Earwolf,4078
Lovett or Leave It,comedy,w,Crooked,4254
Spilled Milk,comedy,w,Indie,2007
Throwing Shade,comedy,w,Earwolf,3736
Wait Wait... Don't Tell Me!,comedy,w,NPR,3463
Answer Me This!,comedy,w,Indie,1667
"My Brother, My Brother And Me",comedy,w,Earwolf,347
Design and Architecture,design,w,KCRW,2154
Monocle 24: Section D,design,w,Monocle,396
Monocle 24: The Urbanist,design,w,Monocle,347
99% Invisible,design,w,Radiotopia,1667
Clever,design,w,Indie,3874
Design Matters with Debbie Millman,design,w,Indie,3417
Monocle 24: Monocle on Design,design,w,Monocle,396
FT News,finance,d,FT,1757
Marketplace Weekend with Lizzie O'Leary,finance,w,APM,2148
Planet Money,finance,w,NPR,1288
Sooo Many White Guys,interview,w,WNYC,2307
Crooked Conversations,interview,w,Crooked,2764
Invisibilia,interview,w,NPR,4078
RISK!,interview,w,Indie,2198
This American Life,interview,w,CPM,1921
How To Be Amazing with Michael Ian Black,interview,w,Indie,3558
KEXP Live Performances Podcast,music,w,KEXP,3998
KEXP Presents Music That Matters,music,w,KEXP,3998
Ninja Tune Podcast,music,w,NinjaTune,1446
Tiny Desk Concerts - Audio,music,w,NPR,3736
Song Exploder,music,w,Radiotopia,1044
Blabbermouth,news,w,TheStranger,2758
FiveThirtyEight Politics,politics,w,ESPN,2277
Slate's Political Gabfest,politics,w,Slate,3883
Pod Save the World,politics,w,Crooked,3526
Political Gabfest,politics,w,Slate,3653
Code Switch,politics,w,NPR,3874
Call Your Girlfriend,society,w,Indie,168
Pop Culture Happy Hour,society,w,NPR,1108
The Cracked Podcast,society,w,Earwolf,4090
Keep It!,society,w,Crooked,3998
Monocle 24: The Monocle Weekly,society,w,Monocle,3175
Pod Save the People,society,w,Crooked,3193
Savage Lovecast,society,w,TheStranger,3081
With Friends Like These,society,w,Crooked,4317
No Such Thing As A Fish,society,w,Indie,1446
Majority 54,society,w,Crooked,4254
Note to Self,tech,w,WNYC,1446
Freakonomics Radio,tech,w,WNYC,3041
Good Bad Show,tech,w,Indie,2026
On the Media,news,w,WNYC,2982
Radiolab,tech,w,WNYC,4808
The Allusionist,tech,w,Radiotopia,1511
Data Skeptic,tech,w,Indie,2154
Linear Digressions,tech,w,Indie,1167
Reply All,tech,w,Gimlet,2198
Science Vs,tech,w,Gimlet,2194
Talking Machines,tech,w,Indie,4629
Command Line Heroes,tech,w,Red Hat,3874
Politically Re-Active with W. Kamau Bell & Hari Kondabolu,politics,w,Earwolf,3653
Adam Ruins Everything,tech,w,Earwolf,1667
Design The Life You Love with Ayse Birsel,design,w,Indie,266
Intelligence Squared,society,w,IQ2US,4078
Fresh Air,society,w,NPR,3041
Unmistakable Creative,interview,w,Indie,3056
Adversarial Learning,tech,w,Indie,1667
What's The Point,tech,w,ESPN,4655
Longform,interview,w,PRI,1167
Nancy,society,w,WNYC,1446
Keepin' it 1600,politics,w,Crooked,3998
Face the Nation on the Radio,politics,w,CBS,1395
Katie Couric,interview,w,Indie,4078
Design Matters,design,w,Indie,2154
Design Matters with Debbie Millman: 2009-2016,design,w,Indie,266
Revisionist History,society,w,WNYC,2198
KCRW's DnA: Design & Architecture,design,w,KCRW,4078
Even More News,comedy,w,Indie,266
Good Food,food,w,KCRW,2026
Hollywood Handbook,comedy,w,indie,2026
Tea With Alice,comedy,w,Indie,1300
Make Me Smart with Kai and Molly,tech,w,APM,2148
"Yo, Is This Racist?",comedy,w,Earwolf,4023
Wait Wait...Don't Tell Me!,comedy,w,NPR,3018
Hysteria,politics,w,Crooked,4078
Las Culturistas with Matt Rogers and Bowen Yang,comedy,w,Forever Dog,3998
SPONTANEANATION with Paul F. Tompkins,comedy,w,Earwolf,4629
Skip the Repeat,interview,bw,Indie,3883
Why Won't You Date Me? with Nicole Byer,comedy,w,HeadGum,4078
The Wilderness,politics,w,Crooked,1921
"Recode Decode, hosted by Kara Swisher",society,w,Recode,4808
The Skewer Podcast,comedy,m,Indie,1921
Punch Up The Jam,comedy,w,headGum,5500
Nerdificent,society,w,HowStuffWorks,1446
The Poscast with Joe Posnanski & Michael Schur,sports,w,Indie,1921
Breach,tech,w,Carbonite,168
Bon Appétit Foodcast,food,w,Bon Apetit,2661
Curious City,society,if,WBEX,637
Hurry Slowly,society,w,Indie,2354
Queer Money,society,w,Indie,697
Split the Veil,tech,w,Indie,4629
Troubled Waters,comedy,w,Earwolf,3056
What the Tuck? A RuPaul's Drag Race Podcast,society,w,Indie,4655
Whimsically Volatile,society,w,Indie,2970
Techish,tech,if,Indie,1471
Make Me Smart® with Kai and Molly,tech,w,Marketplace,2700
The Good Place: The Podcast,entertainment,w,NBC,2400
Corporate Lunch,society,if,GQ,3600
Marketplace,society,d,Marketplace,1800
Crooked Minis,society,w,Crooked,1800
This Is Uncomfortable,society,w,Marketplace,1800
Prism: Tales of Your City,society,if,Netflix,2400
