datePlayed,comedy,design,finance,food,interview,music,news,politics,society,tech,lag ratio,window,60,,
7/24/17,,0,,,0,,,0,0,1,0.2,20.00%,1,FALSE,#VALUE!
7/25/17,,,,,,,,,,,1,60.00%,2,TRUE,TRUE
7/26/17,,0.5,,,1,0,,0.666666667,,1,0.633333333,61.11%,3,FALSE,TRUE
7/27/17,1,1,,,1,,,1,1,1,1,70.83%,4,FALSE,TRUE
7/28/17,,,,,,,,,,0.5,0.5,66.67%,5,FALSE,TRUE
7/29/17,1,1,1,,0,0.5,,1,0.8,0,0.6625,66.60%,6,FALSE,TRUE
7/30/17,,,,,,,,0.5,1,1,0.833333333,68.99%,7,FALSE,TRUE
7/31/17,1,0,,,0.5,0,,0.5,0.25,0.333333333,0.369047619,64.98%,8,FALSE,TRUE
8/1/17,,0.5,0,,,,,1,,,0.5,63.31%,9,FALSE,TRUE
8/2/17,,1,,,,,,1,1,,1,66.98%,10,FALSE,TRUE
8/3/17,1,1,,,1,,,1,1,1,1,69.98%,11,FALSE,TRUE
8/4/17,,,,,,,,,,,1,72.49%,12,TRUE,TRUE
8/5/17,1,,,,,,,,,,1,74.60%,13,FALSE,TRUE
8/6/17,,,0,,,0,,1,1,0.333333333,0.466666667,72.61%,14,FALSE,TRUE
8/7/17,1,,,,0,,,1,1,0.333333333,0.666666667,72.21%,15,FALSE,TRUE
8/8/17,1,1,,,,,,1,,1,1,73.95%,16,FALSE,TRUE
8/9/17,0.333333333,1,0,,,0.333333333,,0.666666667,1,0.5,0.547619048,72.82%,17,FALSE,TRUE
8/10/17,1,,1,,,,,,0,0.666666667,0.666666667,72.48%,18,FALSE,TRUE
8/11/17,1,1,,,,,,1,1,,1,73.93%,19,FALSE,TRUE
8/12/17,1,1,,,,,,,,1,1,75.23%,20,FALSE,TRUE
8/13/17,1,0,1,,0,0.25,,0,0.5,0.4,0.39375,73.52%,21,FALSE,TRUE
8/14/17,,,,,0,,,,,1,0.5,72.45%,22,FALSE,TRUE
8/15/17,,1,,,1,1,,1,1,,1,73.65%,23,FALSE,TRUE
8/16/17,1,1,,,1,1,,1,1,,1,74.75%,24,FALSE,TRUE
8/17/17,1,1,,,,1,,,1,1,1,75.76%,25,FALSE,TRUE
8/18/17,0.666666667,,1,,,1,,1,1,0,0.777777778,75.84%,26,FALSE,TRUE
8/19/17,1,1,,,,0.666666667,,1,1,0.5,0.861111111,76.22%,27,FALSE,TRUE
8/20/17,,,,,,,,,1,,1,77.07%,28,FALSE,TRUE
8/21/17,1,,,,1,,,1,1,1,1,77.86%,29,FALSE,TRUE
8/22/17,0.5,1,,,,,,,1,,0.833333333,78.04%,30,FALSE,TRUE
8/23/17,,1,,,,1,,1,0.666666667,,0.916666667,78.48%,31,FALSE,TRUE
8/24/17,1,1,,,,,,1,,1,1,79.15%,32,FALSE,TRUE
8/25/17,1,0.5,,,,1,,1,1,1,0.916666667,79.53%,33,FALSE,TRUE
8/26/17,1,,,,,,,1,1,,1,80.13%,34,FALSE,TRUE
8/27/17,1,1,1,,0.5,0.5,,,0.714285714,0,0.673469388,79.77%,35,FALSE,TRUE
8/28/17,,1,,,1,1,,,1,1,1,80.33%,36,FALSE,TRUE
8/29/17,,1,,,,,,1,1,,1,80.86%,37,FALSE,TRUE
