name|dateReleased|duration|album|artist|composer|genre|playedCount|datePlayed|dateAdded|year|descriptionShort
Flowers|missing value|530.22998046875|Late Night Tales: Bonobo|Andrew Ashong & Theo Parish||Electronic|77|2018-01-07 09:01:09|2016-10-07 20:09:37|2013|
212 (feat. Lazy Jay)|Friday, November 7, 2014 at 02:00:00|204.878997802734|Broke With Expensive Taste|Azealia Banks|Jef Martens & Azealia Banks|Alternative|51|2018-01-07 08:39:05|2016-02-14 09:21:47|2014|
A Sunday Smile|Tuesday, September 4, 2007 at 02:00:00|215.572998046875|The Flying Club Cup|Beirut||Alternative|5|2018-01-07 08:35:40|2017-03-04 10:07:35|2007|
Postcards From Italy|Tuesday, May 9, 2006 at 02:00:00|257.480010986328|Gulag Orkestar|Beirut||Alternative|9|2018-01-07 07:52:05|2017-03-04 10:07:36|2006|
Capable of Anything|Friday, September 11, 2015 at 02:00:00|229.66600036621102|So There|Ben Folds||Rock|398|2018-01-07 06:15:13|2016-03-09 17:20:51|2015|
If You Stayed Over (feat. Fink)|Monday, October 2, 2006 at 02:00:00|323.77301025390597|Days To Come|Bonobo||Electronic|8|2018-01-07 08:10:41|2016-09-18 15:33:23|2006|
Get Thy Bearings (feat. Szjerdene)|Monday, December 31, 2012 at 18:00:00|185.888000488281|Late Night Tales: Bonobo|Bonobo||Electronic|3|2018-01-07 07:44:16|2017-07-24 06:54:20|2013|
Kerala|Friday, January 13, 2017 at 02:00:00|237.546005249023|Migration|Bonobo||Electronic|561|2018-01-07 06:32:08|2016-11-06 09:20:23|2017|
Jets|Thursday, March 21, 2013 at 02:00:00|274.82598876953097|The North Borders|Bonobo||Electronic|32|2018-01-07 07:56:40|2016-02-14 09:21:47|2013|
Morning Time (feat. Nicki Bluhm)|Tuesday, May 22, 2012 at 02:00:00|259.14599609375|Respect the Van|The Brothers Comatose||Singer/Songwriter|79|2018-01-07 06:04:23|2017-10-09 14:54:27|2012|
Ta douleur|Monday, November 28, 2005 at 02:00:00|186.942001342773|Le fil|Camille|Camille Dalmais|French Pop|32|2018-01-07 16:53:14|2016-02-14 09:21:45|2005|
Slow Down Chicago|Monday, January 23, 2006 at 02:00:00|244.33299255371102|We Were Set Up|Canasta||Pop|69|2018-01-06 06:44:38|2016-02-14 09:21:45|2006|
Odessa|Tuesday, April 20, 2010 at 02:00:00|315.584991455078|Swim (Bonus Track Version)|Caribou||Alternative|45|2018-01-07 16:46:48|2016-02-16 06:58:07|2010|
Born With a Broken Heart|Thursday, February 3, 2011 at 02:00:00|164.266006469727|Everything Is Saved|David Wax Museum||Rock|21|2018-01-07 08:41:49|2016-02-14 09:21:45|2011|
Extraordinary Machine|Tuesday, October 4, 2005 at 02:00:00|223.613006591797|Extraordinary Machine|Fiona Apple|Fiona Apple|Pop|136|2018-01-07 06:08:07|2016-02-14 09:21:45|2005|
Dog Days Are Over|Saturday, January 1, 2011 at 02:00:00|251.839996337891|Lungs (Deluxe Edition)|Florence + The Machine|Florence Welch & Isabella Summers|Alternative|320|2018-01-07 06:40:01|2017-10-01 22:32:55|2011|
Junk City II|Monday, September 9, 2013 at 02:00:00|393.239990234375|Half of Where You Live|Gold Panda||Electronic|1|2018-01-07 16:34:21|2016-09-22 14:26:58|2013|
Snow & Taxis|Tuesday, September 7, 2010 at 02:00:00|280.46600341796903|Lucky Shiner|Gold Panda|Gold Panda|Electronic|6|2018-01-07 16:24:28|2016-09-22 14:27:20|2010|
