y,x,value
1,comedy,0.6
1,design,0.6666666666666666
1,entertainment,0.0
1,finance,0.8
1,food,1.0
1,interview,0.0
1,music,0.875
1,news,0.8636363636363636
1,politics,0.5
1,society,0.8333333333333334
1,tech,0.2
2,comedy,1.0
2,design,1.0
2,entertainment,0.0
2,finance,1.0
2,food,0.0
2,interview,1.0
2,music,0.9090909090909091
2,news,0.9230769230769231
2,politics,1.0
2,society,0.25
2,tech,1.0
3,comedy,1.0
3,design,0.6666666666666666
3,entertainment,0.0
3,finance,1.0
3,food,0.0
3,interview,0.5
3,music,0.9166666666666666
3,news,0.9473684210526315
3,politics,0.8571428571428571
3,society,0.5
3,tech,0.8333333333333334
4,comedy,1.0
4,design,0.8
4,entertainment,0.0
4,finance,0.875
4,food,0.5
4,interview,1.0
4,music,0.9285714285714286
4,news,0.6206896551724138
4,politics,1.0
4,society,0.5555555555555556
4,tech,0.6666666666666666
5,comedy,0.9090909090909091
5,design,0.8333333333333334
5,entertainment,0.0
5,finance,1.0
5,food,1.0
5,interview,1.0
5,music,0.8421052631578947
5,news,0.9523809523809523
5,politics,1.0
5,society,0.5833333333333334
5,tech,0.5
6,comedy,0.8571428571428571
6,design,0.0
6,entertainment,0.0
6,finance,1.0
6,food,1.0
6,interview,0.0
6,music,1.0
6,news,0.9545454545454546
6,politics,0.6
6,society,0.5833333333333334
6,tech,1.0
7,comedy,0.8888888888888888
7,design,0.8
7,entertainment,0.0
7,finance,1.0
7,food,0.0
7,interview,1.0
7,music,0.9411764705882353
7,news,0.88
7,politics,0.8333333333333334
7,society,0.5625
7,tech,0.5
8,comedy,0.5714285714285714
8,design,1.0
8,entertainment,0.0
8,finance,1.0
8,food,0.5
8,interview,1.0
8,music,1.0
8,news,0.8888888888888888
8,politics,1.0
8,society,0.6153846153846154
8,tech,0.6666666666666666
9,comedy,0.8333333333333334
9,design,1.0
9,entertainment,0.0
9,finance,1.0
9,food,1.0
9,interview,1.0
9,music,1.0
9,news,0.9523809523809523
9,politics,0.6666666666666666
9,society,0.8333333333333334
9,tech,1.0
10,comedy,1.0
10,design,1.0
10,entertainment,0.0
10,finance,1.0
10,food,1.0
10,interview,1.0
10,music,1.0
10,news,1.0
10,politics,1.0
10,society,0.9166666666666666
10,tech,1.0
11,comedy,1.0
11,design,1.0
11,entertainment,0.0
11,finance,1.0
11,food,0.0
11,interview,1.0
11,music,1.0
11,news,1.0
11,politics,0.8
11,society,0.3333333333333333
11,tech,0.3333333333333333
12,comedy,0.5
12,design,1.0
12,entertainment,0.0
12,finance,1.0
12,food,0.0
12,interview,1.0
12,music,1.0
12,news,0.9
12,politics,0.6666666666666666
12,society,0.75
12,tech,0.6666666666666666
13,comedy,0.5
13,design,0.5
13,entertainment,0.0
13,finance,1.0
13,food,0.6666666666666666
13,interview,1.0
13,music,1.0
13,news,0.7647058823529411
13,politics,0.4
13,society,0.3333333333333333
13,tech,0.14285714285714285
14,comedy,0.16666666666666666
14,design,0.75
14,entertainment,0.0
14,finance,0.5
14,food,0.0
14,interview,0.0
14,music,0.9333333333333333
14,news,0.75
14,politics,1.0
14,society,0.6666666666666666
14,tech,0.0
15,comedy,0.5625
15,design,0.875
15,entertainment,0.0
15,finance,1.0
15,food,0.0
15,interview,1.0
15,music,0.9333333333333333
15,news,0.6956521739130435
15,politics,0.8333333333333334
15,society,0.9166666666666666
15,tech,0.5
16,comedy,0.875
16,design,0.75
16,entertainment,0.0
16,finance,1.0
16,food,0.0
16,interview,0.5
16,music,0.8888888888888888
16,news,1.0
16,politics,0.5
16,society,0.6
16,tech,1.0
17,comedy,0.75
17,design,0.6363636363636364
17,entertainment,0.0
17,finance,0.6666666666666666
17,food,1.0
17,interview,1.0
17,music,0.7727272727272727
17,news,0.6896551724137931
17,politics,0.5
17,society,0.52
17,tech,0.5454545454545454
18,comedy,1.0
18,design,1.0
18,entertainment,0.0
18,finance,1.0
18,food,0.0
18,interview,1.0
18,music,1.0
18,news,1.0
18,politics,1.0
18,society,1.0
18,tech,0.8
19,comedy,0.6153846153846154
19,design,0.8
19,entertainment,1.0
19,finance,1.0
19,food,1.0
19,interview,1.0
19,music,0.8125
19,news,1.0
19,politics,1.0
19,society,0.7142857142857143
19,tech,0.75
20,comedy,1.0
20,design,1.0
20,entertainment,0.0
20,finance,1.0
20,food,1.0
20,interview,1.0
20,music,1.0
20,news,0.9285714285714286
20,politics,1.0
20,society,0.7142857142857143
20,tech,0.5
21,comedy,1.0
21,design,1.0
21,entertainment,0.0
21,finance,0.6666666666666666
21,food,1.0
21,interview,0.0
21,music,0.8181818181818182
21,news,0.9411764705882353
21,politics,1.0
21,society,0.7894736842105263
21,tech,0.8333333333333334
22,comedy,0.7142857142857143
22,design,1.0
22,entertainment,0.0
22,finance,1.0
22,food,1.0
22,interview,1.0
22,music,1.0
22,news,1.0
22,politics,1.0
22,society,1.0
22,tech,0.5
23,comedy,0.75
23,design,0.75
23,entertainment,0.0
23,finance,1.0
23,food,1.0
23,interview,0.0
23,music,1.0
23,news,0.9473684210526315
23,politics,0.0
23,society,0.8571428571428571
23,tech,0.5
24,comedy,1.0
24,design,1.0
24,entertainment,0.0
24,finance,0.0
24,food,0.0
24,interview,0.0
24,music,1.0
24,news,1.0
24,politics,1.0
24,society,1.0
24,tech,0.0
25,comedy,0.5714285714285714
25,design,0.6
25,entertainment,0.0
25,finance,0.6666666666666666
25,food,0.5
25,interview,0.0
25,music,0.6666666666666666
25,news,0.7777777777777778
25,politics,0.2857142857142857
25,society,0.8333333333333334
25,tech,0.6666666666666666
26,comedy,1.0
26,design,0.8
26,entertainment,1.0
26,finance,1.0
26,food,1.0
26,interview,0.0
26,music,1.0
26,news,1.0
26,politics,1.0
26,society,0.9444444444444444
26,tech,0.6666666666666666
